ts,datetime,MidPoint,MidPoint_500ms,MidPoint_1000ms
1345040135500000000,2012-08-15T09:15:35.500000000,2352.5,2352.7,2352.7
1345040136000000000,2012-08-15T09:15:36.000000000,2352.7,2352.7,2352.7
1345040136500000000,2012-08-15T09:15:36.500000000,2352.7,2352.7,2352.7
1345040137000000000,2012-08-15T09:15:37.000000000,2352.7,2352.7,2352.7
1345040137500000000,2012-08-15T09:15:37.500000000,2352.7,2352.7,2352.9
1345040138000000000,2012-08-15T09:15:38.000000000,2352.7,2352.9,2352.7
1345040138500000000,2012-08-15T09:15:38.500000000,2352.9,2352.7,2352.7
1345040139000000000,2012-08-15T09:15:39.000000000,2352.7,2352.7,2352.5
1345040139500000000,2012-08-15T09:15:39.500000000,2352.7,2352.5,2352.5
1345040140000000000,2012-08-15T09:15:40.000000000,2352.5,2352.5,2352.6
1345040140500000000,2012-08-15T09:15:40.500000000,2352.5,2352.6,2352.7
1345040141000000000,2012-08-15T09:15:41.000000000,2352.6,2352.7,2352.7
1345040141500000000,2012-08-15T09:15:41.500000000,2352.7,2352.7,2352.9
1345040142000000000,2012-08-15T09:15:42.000000000,2352.7,2352.9,2352.7
1345040142500000000,2012-08-15T09:15:42.500000000,2352.9,2352.7,2352.7
1345040143000000000,2012-08-15T09:15:43.000000000,2352.7,2352.7,2352.7
1345040143500000000,2012-08-15T09:15:43.500000000,2352.7,2352.7,2352.5
1345040144000000000,2012-08-15T09:15:44.000000000,2352.7,2352.5,2352.5
1345040144500000000,2012-08-15T09:15:44.500000000,2352.5,2352.5,2352.5
1345040145000000000,2012-08-15T09:15:45.000000000,2352.5,2352.5,2352.5
1345040145500000000,2012-08-15T09:15:45.500000000,2352.5,2352.5,2352.5
1345040146000000000,2012-08-15T09:15:46.000000000,2352.5,2352.5,2352.7
1345040146500000000,2012-08-15T09:15:46.500000000,2352.5,2352.7,2352.7
1345040147000000000,2012-08-15T09:15:47.000000000,2352.7,2352.7,2352.7
1345040147500000000,2012-08-15T09:15:47.500000000,2352.7,2352.7,2352.8
1345040148000000000,2012-08-15T09:15:48.000000000,2352.7,2352.8,2352.8
1345040148500000000,2012-08-15T09:15:48.500000000,2352.8,2352.8,2352.9
1345040149000000000,2012-08-15T09:15:49.000000000,2352.8,2352.9,2352.9
1345040149500000000,2012-08-15T09:15:49.500000000,2352.9,2352.9,2352.9
1345040150000000000,2012-08-15T09:15:50.000000000,2352.9,2352.9,2352.7
1345040150500000000,2012-08-15T09:15:50.500000000,2352.9,2352.7,2352.7
1345040151000000000,2012-08-15T09:15:51.000000000,2352.7,2352.7,2352.7
1345040151500000000,2012-08-15T09:15:51.500000000,2352.7,2352.7,2352.7
1345040152000000000,2012-08-15T09:15:52.000000000,2352.7,2352.7,2352.7
1345040152500000000,2012-08-15T09:15:52.500000000,2352.7,2352.7,2352.7
1345040153000000000,2012-08-15T09:15:53.000000000,2352.7,2352.7,2352.6
1345040153500000000,2012-08-15T09:15:53.500000000,2352.7,2352.6,2352.5
1345040154000000000,2012-08-15T09:15:54.000000000,2352.6,2352.5,2352.5
1345040154500000000,2012-08-15T09:15:54.500000000,2352.5,2352.5,2352.5
1345040155000000000,2012-08-15T09:15:55.000000000,2352.5,2352.5,2352.5
1345040155500000000,2012-08-15T09:15:55.500000000,2352.5,2352.5,2352.5
1345040156000000000,2012-08-15T09:15:56.000000000,2352.5,2352.5,2352.5
1345040156500000000,2012-08-15T09:15:56.500000000,2352.5,2352.5,2352.5
1345040157000000000,2012-08-15T09:15:57.000000000,2352.5,2352.5,2352.3
1345040157500000000,2012-08-15T09:15:57.500000000,2352.5,2352.3,2352.3
1345040158000000000,2012-08-15T09:15:58.000000000,2352.3,2352.3,2352.1
1345040158500000000,2012-08-15T09:15:58.500000000,2352.3,2352.1,2352.1
1345040159000000000,2012-08-15T09:15:59.000000000,2352.1,2352.1,2352.1
1345040159500000000,2012-08-15T09:15:59.500000000,2352.1,2352.1,2351.9
1345040160000000000,2012-08-15T09:16:00.000000000,2352.1,2351.9,2352.1
1345040160500000000,2012-08-15T09:16:00.500000000,2351.9,2352.1,2352.1
1345040161000000000,2012-08-15T09:16:01.000000000,2352.1,2352.1,2352.1
1345040161500000000,2012-08-15T09:16:01.500000000,2352.1,2352.1,2352.3
1345040162000000000,2012-08-15T09:16:02.000000000,2352.1,2352.3,2352.3
1345040162500000000,2012-08-15T09:16:02.500000000,2352.3,2352.3,2352.3
1345040163000000000,2012-08-15T09:16:03.000000000,2352.3,2352.3,2352.3
1345040163500000000,2012-08-15T09:16:03.500000000,2352.3,2352.3,2352.2
1345040164000000000,2012-08-15T09:16:04.000000000,2352.3,2352.2,2352.1
1345040164500000000,2012-08-15T09:16:04.500000000,2352.2,2352.1,2352.2
1345040165000000000,2012-08-15T09:16:05.000000000,2352.1,2352.2,2352.3
1345040165500000000,2012-08-15T09:16:05.500000000,2352.2,2352.3,2352.3
1345040166000000000,2012-08-15T09:16:06.000000000,2352.3,2352.3,2352.3
1345040166500000000,2012-08-15T09:16:06.500000000,2352.3,2352.3,2352.3
1345040167000000000,2012-08-15T09:16:07.000000000,2352.3,2352.3,2352.3
1345040167500000000,2012-08-15T09:16:07.500000000,2352.3,2352.3,2352.1
1345040168000000000,2012-08-15T09:16:08.000000000,2352.3,2352.1,2352.3
1345040168500000000,2012-08-15T09:16:08.500000000,2352.1,2352.3,2352.1
1345040169000000000,2012-08-15T09:16:09.000000000,2352.3,2352.1,2352.1
1345040169500000000,2012-08-15T09:16:09.500000000,2352.1,2352.1,2352.1
1345040170000000000,2012-08-15T09:16:10.000000000,2352.1,2352.1,2352.3
1345040170500000000,2012-08-15T09:16:10.500000000,2352.1,2352.3,2352.3
1345040171000000000,2012-08-15T09:16:11.000000000,2352.3,2352.3,2352.3
1345040171500000000,2012-08-15T09:16:11.500000000,2352.3,2352.3,2352.2
1345040172000000000,2012-08-15T09:16:12.000000000,2352.3,2352.2,2352.3
