pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
2,0.2,0.13,1593173,94,16957,0.32,0.55,71.39,-0.4,18.13,8452,-0.31,-0.54,71.22,0.41,17.77,8505
5,0.2,0.13,1355010,80,16957,0.27,0.79,59.28,-0.6,32.49,8452,-0.26,-0.75,59.65,0.61,31.21,8505
10,0.2,0.13,1349340,80,16957,0.28,1.07,55.34,-0.8,38.18,8452,-0.25,-1,56.1,0.83,37.9,8505
2,0.2,0.14,1552149,94,16442,0.32,0.55,71.27,-0.41,18.35,8182,-0.31,-0.54,71.21,0.41,17.91,8260
5,0.2,0.14,1316430,80,16442,0.27,0.8,59.13,-0.61,32.66,8182,-0.26,-0.76,59.66,0.62,31.32,8260
10,0.2,0.14,1316070,80,16442,0.29,1.08,55.26,-0.81,38.32,8182,-0.25,-1,56.14,0.84,37.97,8260
2,0.2,0.15,1512009,95,15899,0.32,0.56,71.22,-0.41,18.54,7901,-0.31,-0.54,71.28,0.41,17.89,7998
5,0.2,0.15,1283100,81,15899,0.28,0.81,59.08,-0.61,32.79,7901,-0.26,-0.77,59.78,0.62,31.35,7998
10,0.2,0.15,1281540,81,15899,0.29,1.09,55.32,-0.81,38.43,7901,-0.25,-1.01,56.16,0.85,38.11,7998
2,0.2,0.16,1465622,96,15319,0.32,0.56,71.27,-0.41,18.62,7604,-0.31,-0.55,71.03,0.42,18.11,7715
5,0.2,0.16,1241040,81,15319,0.28,0.82,59.14,-0.62,32.88,7604,-0.26,-0.77,59.64,0.63,31.59,7715
10,0.2,0.16,1238670,81,15319,0.29,1.1,55.35,-0.82,38.55,7604,-0.25,-1.02,56.05,0.86,38.24,7715
2,0.2,0.17,1422834,96,14753,0.33,0.57,71.15,-0.41,18.83,7323,-0.32,-0.55,71.2,0.42,18.18,7430
5,0.2,0.17,1203630,82,14753,0.28,0.83,58.9,-0.63,33.2,7323,-0.27,-0.78,59.7,0.63,31.63,7430
10,0.2,0.17,1194630,81,14753,0.29,1.12,55.22,-0.83,38.8,7323,-0.25,-1.03,56.06,0.87,38.33,7430
2,0.2,0.18,1374850,97,14137,0.33,0.57,71.27,-0.42,18.85,7023,-0.32,-0.56,71.32,0.42,18.18,7114
5,0.2,0.18,1162650,82,14137,0.28,0.84,58.88,-0.64,33.26,7023,-0.27,-0.79,59.83,0.64,31.77,7114
10,0.2,0.18,1156650,82,14137,0.3,1.13,55.18,-0.84,38.93,7023,-0.25,-1.04,56.28,0.88,38.18,7114
2,0.2,0.19,1325110,98,13512,0.33,0.58,71.28,-0.43,19.06,6717,-0.32,-0.56,71.42,0.43,18.45,6795
5,0.2,0.19,1122780,83,13512,0.29,0.85,58.97,-0.64,33.33,6717,-0.27,-0.79,59.81,0.65,31.8,6795
10,0.2,0.19,1110660,82,13512,0.3,1.14,55.37,-0.85,38.89,6717,-0.25,-1.05,55.97,0.89,38.48,6795
2,0.2,0.2,1277350,99,12883,0.34,0.58,71.5,-0.43,19.03,6410,-0.32,-0.57,71.3,0.43,18.72,6473
5,0.2,0.2,1084380,84,12883,0.29,0.86,59,-0.65,33.43,6410,-0.27,-0.81,59.8,0.65,31.98,6473
10,0.2,0.2,1074000,83,12883,0.3,1.16,55.27,-0.86,38.99,6410,-0.25,-1.07,56.03,0.9,38.47,6473
2,0.2,0.21,1224400,100,12283,0.34,0.59,71.45,-0.44,19.13,6127,-0.33,-0.57,71.2,0.44,18.92,6156
5,0.2,0.21,1037130,84,12283,0.29,0.87,58.9,-0.66,33.57,6127,-0.27,-0.82,59.63,0.66,32.2,6156
10,0.2,0.21,1028790,84,12283,0.3,1.16,55.04,-0.87,39.15,6127,-0.26,-1.08,56.12,0.91,38.37,6156
2,0.2,0.22,1177060,101,11668,0.34,0.6,71.33,-0.44,19.34,5828,-0.33,-0.58,71.35,0.44,19.06,5840
5,0.2,0.22,995610,85,11668,0.29,0.87,58.85,-0.67,33.68,5828,-0.28,-0.83,59.61,0.66,32.41,5840
10,0.2,0.22,990240,85,11668,0.3,1.18,55.04,-0.88,39.24,5828,-0.26,-1.1,56.23,0.93,38.41,5840
2,0.2,0.23,1123106,101,11076,0.34,0.6,71.24,-0.44,19.5,5522,-0.33,-0.58,71.44,0.44,19.25,5554
5,0.2,0.23,954840,86,11076,0.29,0.88,58.84,-0.67,33.79,5522,-0.28,-0.84,59.74,0.67,32.37,5554
10,0.2,0.23,942720,85,11076,0.3,1.19,54.87,-0.89,39.39,5522,-0.27,-1.11,56.39,0.94,38.28,5554
2,0.2,0.24,1076554,102,10570,0.34,0.61,71.17,-0.45,19.61,5252,-0.33,-0.59,71.32,0.45,19.35,5318
5,0.2,0.24,909180,86,10570,0.29,0.89,58.55,-0.68,34.1,5252,-0.28,-0.85,59.65,0.68,32.46,5318
10,0.2,0.24,897330,85,10570,0.3,1.19,54.8,-0.9,39.72,5252,-0.27,-1.12,56.56,0.96,38.13,5318
2,0.2,0.25,1026980,102,10079,0.34,0.61,70.89,-0.45,19.79,5008,-0.33,-0.6,71.13,0.45,19.7,5071
5,0.2,0.25,866730,86,10079,0.29,0.9,58.53,-0.68,34.31,5008,-0.28,-0.85,59.44,0.69,32.7,5071
10,0.2,0.25,856470,85,10079,0.3,1.2,54.73,-0.91,39.74,5008,-0.27,-1.13,56.44,0.97,38.43,5071
2,0.2,0.26,988333,103,9622,0.35,0.62,70.83,-0.46,20.1,4775,-0.34,-0.6,71.22,0.45,19.62,4847
5,0.2,0.26,830040,86,9622,0.29,0.91,58.41,-0.69,34.68,4775,-0.28,-0.86,59.32,0.69,32.87,4847
10,0.2,0.26,822870,86,9622,0.3,1.21,54.89,-0.92,39.83,4775,-0.27,-1.15,56.34,0.97,38.7,4847
2,0.2,0.27,950332,104,9159,0.35,0.62,71.17,-0.46,19.98,4564,-0.34,-0.6,71.21,0.46,19.78,4595
5,0.2,0.27,793410,87,9159,0.29,0.91,58.55,-0.7,34.71,4564,-0.28,-0.87,59.13,0.7,33.1,4595
10,0.2,0.27,784470,86,9159,0.3,1.22,54.86,-0.93,39.77,4564,-0.27,-1.16,56.41,0.99,38.63,4595
2,0.2,0.28,903187,104,8685,0.35,0.63,71.09,-0.46,20.15,4317,-0.34,-0.61,71.27,0.46,20.08,4368
5,0.2,0.28,759750,87,8685,0.3,0.92,58.35,-0.7,34.79,4317,-0.29,-0.88,59.27,0.71,33.06,4368
10,0.2,0.28,744300,86,8685,0.3,1.24,54.64,-0.94,40.05,4317,-0.27,-1.17,56.43,1,38.64,4368
2,0.2,0.29,860490,104,8243,0.35,0.63,70.92,-0.47,20.47,4103,-0.34,-0.61,71.28,0.46,20.19,4140
5,0.2,0.29,726150,88,8243,0.29,0.93,58.18,-0.71,34.97,4103,-0.29,-0.89,59.52,0.72,32.92,4140
10,0.2,0.29,711570,86,8243,0.3,1.25,54.72,-0.95,40.26,4103,-0.27,-1.19,56.16,1.01,38.96,4140
2,0.2,0.3,824550,105,7849,0.35,0.63,70.93,-0.47,20.51,3911,-0.35,-0.62,71.51,0.47,20.01,3938
5,0.2,0.3,688620,88,7849,0.29,0.94,58.07,-0.72,35.29,3911,-0.29,-0.9,59.37,0.73,33.14,3938
10,0.2,0.3,676410,86,7849,0.31,1.26,54.82,-0.96,40.19,3911,-0.27,-1.2,55.79,1.02,39.33,3938
