pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
10,0.3,0.25,421800,109,3873,0.4,1.25,58.06,-0.9,36.75,1891,-0.33,-1.18,58.98,1.01,35.77,1982
2,0.3,0.26,509336,138,3703,0.48,0.7,77.41,-0.45,15.03,1797,-0.44,-0.67,76.55,0.47,15.53,1906
5,0.3,0.26,400860,108,3703,0.38,0.95,61.94,-0.67,31.89,1797,-0.35,-0.92,61.02,0.71,30.33,1906
10,0.3,0.26,403110,109,3703,0.4,1.26,58.43,-0.91,36.67,1797,-0.33,-1.19,58.6,1.02,36.25,1906
2,0.3,0.27,489611,138,3538,0.48,0.71,77.82,-0.45,14.87,1722,-0.44,-0.68,76.32,0.47,15.91,1816
5,0.3,0.27,383910,109,3538,0.38,0.96,62.08,-0.68,32,1722,-0.35,-0.93,60.96,0.71,30.73,1816
10,0.3,0.27,381720,108,3538,0.39,1.26,58.36,-0.93,36.7,1722,-0.33,-1.2,58.54,1.02,36.34,1816
2,0.3,0.28,464667,138,3360,0.49,0.71,77.65,-0.45,14.94,1633,-0.44,-0.68,76.2,0.48,16.33,1727
5,0.3,0.28,368730,110,3360,0.38,0.97,61.97,-0.68,31.97,1633,-0.35,-0.94,60.97,0.72,30.8,1727
10,0.3,0.28,362550,108,3360,0.4,1.28,58.18,-0.93,36.99,1633,-0.32,-1.2,58.54,1.04,36.31,1727
2,0.3,0.29,444470,139,3204,0.48,0.71,77.56,-0.45,15.06,1560,-0.44,-0.69,76.03,0.48,16.48,1644
5,0.3,0.29,351090,110,3204,0.38,0.97,61.67,-0.68,32.31,1560,-0.36,-0.95,61.25,0.73,30.78,1644
10,0.3,0.29,344160,107,3204,0.4,1.29,57.95,-0.94,37.31,1560,-0.32,-1.22,58.09,1.05,36.8,1644
2,0.3,0.3,426350,139,3061,0.49,0.72,77.43,-0.45,15.31,1489,-0.44,-0.69,76.15,0.49,16.35,1572
5,0.3,0.3,338160,110,3061,0.38,0.98,61.58,-0.68,32.84,1489,-0.36,-0.96,61.13,0.74,30.85,1572
10,0.3,0.3,333810,109,3061,0.4,1.3,57.96,-0.94,37.41,1489,-0.33,-1.23,58.02,1.06,36.83,1572
2,0.3,0.31,408463,141,2902,0.49,0.73,77.38,-0.45,15.18,1410,-0.45,-0.7,75.94,0.5,16.35,1492
5,0.3,0.31,325680,112,2902,0.38,0.99,61.63,-0.69,33.19,1410,-0.37,-0.97,61.39,0.74,30.5,1492
10,0.3,0.31,318210,110,2902,0.4,1.31,57.87,-0.95,37.45,1410,-0.33,-1.25,58.04,1.06,36.8,1492
2,0.3,0.32,387726,141,2742,0.5,0.74,77.3,-0.46,15.58,1335,-0.45,-0.7,75.55,0.51,16.63,1407
5,0.3,0.32,306360,112,2742,0.39,1.01,61.35,-0.69,33.56,1335,-0.36,-0.97,60.84,0.76,30.77,1407
10,0.3,0.32,301500,110,2742,0.41,1.32,58.13,-0.96,37.3,1335,-0.32,-1.26,57.78,1.08,37.24,1407
2,0.3,0.33,372456,143,2604,0.5,0.75,77.19,-0.46,15.63,1267,-0.45,-0.71,75.77,0.52,16.6,1337
5,0.3,0.33,291720,112,2604,0.39,1.02,61.17,-0.7,33.78,1267,-0.36,-0.98,60.96,0.77,31.04,1337
10,0.3,0.33,284820,109,2604,0.4,1.33,57.77,-0.97,37.73,1267,-0.33,-1.27,58.12,1.09,37.17,1337
2,0.3,0.34,355889,144,2478,0.5,0.75,76.97,-0.47,15.91,1207,-0.46,-0.72,75.85,0.52,16.6,1271
5,0.3,0.34,277290,112,2478,0.38,1.02,61.23,-0.72,33.55,1207,-0.36,-1,60.82,0.79,30.84,1271
10,0.3,0.34,268440,108,2478,0.39,1.32,57.83,-0.98,37.78,1207,-0.33,-1.28,57.99,1.11,37.29,1271
2,0.3,0.35,343259,145,2367,0.51,0.76,76.92,-0.47,15.91,1144,-0.46,-0.72,75.8,0.53,16.68,1223
5,0.3,0.35,268170,113,2367,0.39,1.04,60.84,-0.72,34,1144,-0.37,-1,61.08,0.79,30.74,1223
10,0.3,0.35,260100,110,2367,0.4,1.34,57.6,-0.98,38.2,1144,-0.34,-1.3,58.05,1.12,37.45,1223
2,0.3,0.36,327891,146,2248,0.52,0.76,77.23,-0.47,16.08,1076,-0.46,-0.72,76.02,0.54,16.72,1172
5,0.3,0.36,258750,115,2248,0.4,1.05,61.15,-0.72,34.11,1076,-0.37,-1.01,61.35,0.8,30.55,1172
10,0.3,0.36,253470,113,2248,0.42,1.37,57.71,-0.98,38.01,1076,-0.34,-1.31,58.45,1.15,37.12,1172
2,0.3,0.37,314541,146,2153,0.52,0.77,77.03,-0.48,16.09,1032,-0.46,-0.73,75.83,0.54,16.86,1121
5,0.3,0.37,244260,113,2153,0.39,1.05,61.14,-0.72,34.59,1032,-0.36,-1,61.02,0.8,30.95,1121
10,0.3,0.37,239790,111,2153,0.42,1.37,57.75,-0.99,37.98,1032,-0.33,-1.3,58.34,1.16,37.29,1121
2,0.3,0.38,299331,146,2044,0.51,0.77,76.54,-0.47,16.5,976,-0.46,-0.73,75.94,0.54,17.13,1068
5,0.3,0.38,239310,117,2044,0.4,1.07,61.17,-0.73,34.43,976,-0.38,-1.01,62.08,0.81,30.24,1068
10,0.3,0.38,232440,114,2044,0.42,1.38,57.99,-1,37.7,976,-0.34,-1.31,58.99,1.19,36.7,1068
2,0.3,0.39,288291,148,1954,0.52,0.78,76.57,-0.48,16.72,939,-0.47,-0.74,76.06,0.54,17.14,1015
5,0.3,0.39,231840,119,1954,0.4,1.07,60.81,-0.72,34.82,939,-0.39,-1.02,62.46,0.82,30.05,1015
10,0.3,0.39,223050,114,1954,0.41,1.38,57.83,-1.01,38.02,939,-0.35,-1.33,59.31,1.2,36.45,1015
2,0.31,0,820434,125,6565,0.43,0.62,78.69,-0.38,12.93,3172,-0.4,-0.59,77.42,0.43,12.85,3393
5,0.31,0,640350,98,6565,0.34,0.83,62.26,-0.58,29.76,3172,-0.31,-0.78,62.01,0.62,27.76,3393
10,0.31,0,650970,99,6565,0.37,1.09,58.23,-0.78,34.65,3172,-0.3,-1,58.62,0.84,34.66,3393
2,0.31,0.01,820164,125,6564,0.43,0.62,78.68,-0.38,12.93,3171,-0.4,-0.59,77.42,0.43,12.85,3393
5,0.31,0.01,639870,97,6564,0.34,0.83,62.25,-0.58,29.77,3171,-0.31,-0.78,62.01,0.62,27.76,3393
10,0.31,0.01,650250,99,6564,0.37,1.09,58.22,-0.78,34.66,3171,-0.3,-1,58.62,0.84,34.66,3393
2,0.31,0.02,819744,125,6563,0.43,0.62,78.68,-0.38,12.93,3171,-0.4,-0.59,77.42,0.43,12.85,3392
5,0.31,0.02,639390,97,6563,0.34,0.83,62.25,-0.58,29.77,3171,-0.31,-0.78,62,0.62,27.77,3392
10,0.31,0.02,649650,99,6563,0.37,1.09,58.22,-0.78,34.66,3171,-0.3,-1,58.61,0.84,34.67,3392
2,0.31,0.03,819684,125,6560,0.44,0.62,78.73,-0.38,12.91,3169,-0.4,-0.59,77.41,0.43,12.86,3391
5,0.31,0.03,639120,97,6560,0.34,0.83,62.26,-0.58,29.76,3169,-0.31,-0.78,61.99,0.62,27.78,3391
10,0.31,0.03,649740,99,6560,0.37,1.09,58.25,-0.78,34.65,3169,-0.3,-1,58.6,0.84,34.68,3391
2,0.31,0.04,818814,125,6555,0.43,0.62,78.74,-0.38,12.92,3165,-0.4,-0.59,77.4,0.43,12.86,3390
5,0.31,0.04,638460,97,6555,0.34,0.83,62.24,-0.58,29.79,3165,-0.31,-0.78,62.01,0.62,27.76,3390
10,0.31,0.04,647640,99,6555,0.37,1.09,58.2,-0.78,34.69,3165,-0.3,-1,58.58,0.84,34.69,3390
2,0.31,0.05,817794,125,6548,0.43,0.62,78.71,-0.38,12.94,3161,-0.4,-0.59,77.38,0.43,12.87,3387
5,0.31,0.05,636330,97,6548,0.34,0.82,62.23,-0.58,29.83,3161,-0.31,-0.78,61.97,0.62,27.78,3387
10,0.31,0.05,646140,99,6548,0.37,1.09,58.18,-0.78,34.7,3161,-0.3,-1,58.55,0.84,34.72,3387
2,0.31,0.06,816114,125,6530,0.44,0.62,78.69,-0.38,12.97,3153,-0.4,-0.59,77.38,0.43,12.88,3377
5,0.31,0.06,634140,97,6530,0.34,0.83,62.23,-0.58,29.88,3153,-0.31,-0.78,61.95,0.62,27.86,3377
10,0.31,0.06,644490,99,6530,0.37,1.09,58.17,-0.78,34.76,3153,-0.29,-1,58.51,0.84,34.76,3377
2,0.31,0.07,813924,125,6493,0.44,0.62,78.71,-0.39,12.96,3133,-0.4,-0.59,77.38,0.43,12.92,3360
5,0.31,0.07,631380,97,6493,0.34,0.83,62.18,-0.58,29.97,3133,-0.31,-0.78,61.93,0.62,27.89,3360
10,0.31,0.07,641430,99,6493,0.37,1.1,58.16,-0.78,34.82,3133,-0.3,-1,58.51,0.84,34.88,3360
2,0.31,0.08,809544,126,6440,0.44,0.62,78.69,-0.39,13.02,3111,-0.4,-0.59,77.5,0.43,12.92,3329
5,0.31,0.08,627210,97,6440,0.34,0.83,62.2,-0.59,29.99,3111,-0.31,-0.78,62.12,0.63,27.88,3329
10,0.31,0.08,639960,99,6440,0.37,1.1,58.24,-0.78,34.81,3111,-0.3,-1.01,58.61,0.84,34.85,3329
2,0.31,0.09,801294,126,6365,0.44,0.62,78.7,-0.39,13.02,3080,-0.4,-0.59,77.41,0.43,13.03,3285
5,0.31,0.09,619680,97,6365,0.34,0.83,62.14,-0.59,30.1,3080,-0.31,-0.78,61.92,0.63,28.13,3285
10,0.31,0.09,630990,99,6365,0.37,1.1,58.25,-0.78,35,3080,-0.3,-1.01,58.6,0.85,34.98,3285
2,0.31,0.1,794754,126,6284,0.44,0.62,78.71,-0.39,13.08,3043,-0.4,-0.6,77.41,0.43,13.17,3241
5,0.31,0.1,613800,98,6284,0.34,0.84,62.21,-0.59,30.17,3043,-0.31,-0.79,61.89,0.63,28.23,3241
10,0.31,0.1,624210,99,6284,0.37,1.11,58.3,-0.79,34.97,3043,-0.3,-1.01,58.5,0.85,35.21,3241
2,0.31,0.11,785004,127,6158,0.44,0.63,78.67,-0.39,13.16,2986,-0.41,-0.6,77.46,0.44,13.27,3172
5,0.31,0.11,605370,98,6158,0.34,0.84,62.09,-0.59,30.38,2986,-0.31,-0.8,61.6,0.63,28.53,3172
10,0.31,0.11,614730,100,6158,0.37,1.12,58.24,-0.79,35.2,2986,-0.3,-1.03,58.26,0.85,35.44,3172
2,0.31,0.12,768504,128,5989,0.45,0.63,78.59,-0.39,13.16,2896,-0.41,-0.6,77.47,0.44,13.42,3093
5,0.31,0.12,591450,99,5989,0.35,0.85,62.05,-0.59,30.59,2896,-0.31,-0.81,61.49,0.63,28.77,3093
10,0.31,0.12,598200,100,5989,0.37,1.12,58.36,-0.79,35.53,2896,-0.3,-1.03,58.1,0.86,35.6,3093
2,0.31,0.13,751877,129,5832,0.45,0.64,78.54,-0.39,13.31,2833,-0.41,-0.61,77.43,0.44,13.44,2999
5,0.31,0.13,580260,99,5832,0.35,0.86,62.2,-0.6,30.57,2833,-0.31,-0.81,61.29,0.64,28.94,2999
10,0.31,0.13,584940,100,5832,0.38,1.13,58.45,-0.8,35.47,2833,-0.29,-1.04,57.85,0.87,35.85,2999
2,0.31,0.14,733990,130,5660,0.45,0.64,78.57,-0.4,13.39,2734,-0.41,-0.61,77.41,0.44,13.57,2926
5,0.31,0.14,566190,100,5660,0.35,0.87,62.22,-0.6,30.69,2734,-0.31,-0.82,61.31,0.64,28.95,2926
10,0.31,0.14,573060,101,5660,0.38,1.15,58.45,-0.81,35.52,2734,-0.29,-1.05,58.03,0.88,35.75,2926
2,0.31,0.15,713290,131,5462,0.46,0.65,78.61,-0.4,13.55,2627,-0.42,-0.62,77.35,0.44,13.76,2835
5,0.31,0.15,550200,101,5462,0.36,0.88,62.09,-0.61,30.87,2627,-0.32,-0.82,61.48,0.65,28.92,2835
10,0.31,0.15,556920,102,5462,0.39,1.16,58.43,-0.81,35.71,2627,-0.29,-1.06,58.02,0.89,35.98,2835
2,0.31,0.16,691000,131,5255,0.46,0.65,78.73,-0.4,13.58,2525,-0.42,-0.62,77.11,0.45,13.92,2730
5,0.31,0.16,532980,101,5255,0.36,0.88,62.22,-0.62,30.81,2525,-0.32,-0.83,61.28,0.66,29.16,2730
10,0.31,0.16,539520,103,5255,0.39,1.17,58.5,-0.82,35.88,2525,-0.3,-1.07,57.91,0.9,36.04,2730
2,0.31,0.17,670330,133,5057,0.46,0.66,78.6,-0.41,13.68,2435,-0.42,-0.63,77.12,0.45,13.88,2622
5,0.31,0.17,518040,102,5057,0.36,0.9,61.89,-0.62,30.97,2435,-0.32,-0.84,61.33,0.67,29.14,2622
10,0.31,0.17,521850,103,5057,0.39,1.19,58.32,-0.83,36.14,2435,-0.3,-1.08,58.12,0.91,35.93,2622
2,0.31,0.18,653230,134,4865,0.47,0.66,78.74,-0.41,13.48,2352,-0.43,-0.64,77.28,0.45,13.65,2513
5,0.31,0.18,508680,105,4865,0.37,0.91,62.12,-0.63,30.95,2352,-0.33,-0.85,61.52,0.67,29.25,2513
10,0.31,0.18,514020,106,4865,0.4,1.2,58.55,-0.83,35.88,2352,-0.3,-1.09,58.38,0.93,35.81,2513
2,0.31,0.19,632050,135,4668,0.47,0.67,78.79,-0.42,13.66,2254,-0.43,-0.64,77.17,0.46,13.84,2414
5,0.31,0.19,493530,106,4668,0.38,0.92,62.2,-0.63,30.88,2254,-0.33,-0.86,61.52,0.67,29.33,2414
10,0.31,0.19,499920,107,4668,0.41,1.21,58.87,-0.85,35.58,2254,-0.31,-1.1,58.2,0.93,36.16,2414
2,0.31,0.2,611950,137,4472,0.48,0.68,79.19,-0.43,13.53,2158,-0.43,-0.65,77.01,0.46,14.04,2314
5,0.31,0.2,478680,107,4472,0.38,0.93,62.42,-0.65,30.68,2158,-0.33,-0.87,61.37,0.67,29.52,2314
10,0.31,0.2,485760,109,4472,0.42,1.23,58.9,-0.86,35.59,2158,-0.31,-1.12,58.17,0.94,36.21,2314
2,0.31,0.21,587830,138,4275,0.48,0.69,79.05,-0.43,13.59,2067,-0.43,-0.65,76.81,0.46,14.36,2208
5,0.31,0.21,458970,107,4275,0.39,0.94,62.46,-0.65,30.96,2067,-0.33,-0.88,61.1,0.68,29.89,2208
10,0.31,0.21,463800,108,4275,0.42,1.23,58.93,-0.87,35.66,2067,-0.31,-1.13,58.15,0.96,36.14,2208
2,0.31,0.22,568060,139,4085,0.49,0.69,78.88,-0.43,13.73,1989,-0.44,-0.66,77.05,0.47,14.6,2096
5,0.31,0.22,442590,108,4085,0.39,0.95,62.09,-0.65,31.12,1989,-0.34,-0.9,60.93,0.69,30.2,2096
10,0.31,0.22,449250,110,4085,0.42,1.25,58.87,-0.88,35.75,1989,-0.32,-1.15,58.4,0.98,36.26,2096
2,0.31,0.23,543670,141,3863,0.49,0.7,78.77,-0.44,13.94,1879,-0.45,-0.67,77.37,0.47,14.52,1984
5,0.31,0.23,427560,111,3863,0.39,0.96,62.27,-0.65,30.92,1879,-0.34,-0.9,61.39,0.71,29.69,1984
10,0.31,0.23,430470,111,3863,0.42,1.25,58.81,-0.89,35.87,1879,-0.33,-1.16,58.77,1,35.94,1984
2,0.31,0.24,523893,141,3717,0.49,0.71,78.7,-0.44,14.13,1798,-0.45,-0.67,77.23,0.47,14.54,1919
5,0.31,0.24,410370,110,3717,0.39,0.96,62.18,-0.66,31.09,1798,-0.35,-0.91,61.33,0.71,29.76,1919
10,0.31,0.24,415320,112,3717,0.42,1.27,58.68,-0.89,36.15,1798,-0.33,-1.17,58.73,1.01,35.9,1919
2,0.31,0.25,498589,141,3537,0.49,0.71,78.61,-0.44,14.14,1711,-0.45,-0.67,77.11,0.48,14.84,1826
5,0.31,0.25,391440,111,3537,0.39,0.96,62.13,-0.66,31.39,1711,-0.35,-0.92,61.34,0.72,29.9,1826
10,0.31,0.25,398700,113,3537,0.42,1.27,58.85,-0.89,36,1711,-0.33,-1.19,58.65,1.02,36.09,1826
2,0.31,0.26,478849,142,3384,0.5,0.72,78.27,-0.45,14.36,1629,-0.45,-0.68,76.92,0.48,15.16,1755
5,0.31,0.26,375210,111,3384,0.39,0.97,62.06,-0.66,31.61,1629,-0.35,-0.93,60.91,0.72,30.26,1755
10,0.31,0.26,380670,112,3384,0.43,1.27,59.18,-0.9,35.97,1629,-0.33,-1.2,58.23,1.02,36.58,1755
2,0.31,0.27,461194,142,3237,0.5,0.72,78.82,-0.45,14.14,1563,-0.45,-0.68,76.7,0.48,15.47,1674
5,0.31,0.27,360720,111,3237,0.39,0.97,62.19,-0.67,31.73,1563,-0.35,-0.94,60.93,0.72,30.59,1674
10,0.31,0.27,361680,112,3237,0.42,1.27,59.12,-0.92,35.96,1563,-0.33,-1.21,58.18,1.03,36.62,1674
2,0.31,0.28,439370,143,3080,0.51,0.72,78.75,-0.45,14.06,1487,-0.45,-0.68,76.59,0.48,15.82,1593
5,0.31,0.28,348600,113,3080,0.4,0.98,62.34,-0.66,31.47,1487,-0.35,-0.95,61.02,0.73,30.63,1593
10,0.31,0.28,344490,112,3080,0.42,1.29,58.84,-0.92,36.25,1487,-0.32,-1.21,58.25,1.04,36.53,1593
2,0.31,0.29,421123,143,2939,0.51,0.72,78.78,-0.45,14.13,1423,-0.45,-0.69,76.45,0.49,15.96,1516
5,0.31,0.29,333000,113,2939,0.4,0.98,62.05,-0.67,31.76,1423,-0.36,-0.96,61.28,0.74,30.67,1516
10,0.31,0.29,329250,112,2939,0.43,1.3,58.75,-0.93,36.47,1423,-0.32,-1.23,57.85,1.05,37.01,1516
2,0.31,0.3,403063,144,2804,0.51,0.73,78.67,-0.46,14.39,1355,-0.45,-0.7,76.4,0.5,15.87,1449
5,0.31,0.3,320280,114,2804,0.4,1,61.92,-0.67,32.25,1355,-0.36,-0.97,61.08,0.74,30.85,1449
10,0.31,0.3,319050,114,2804,0.44,1.32,58.82,-0.93,36.53,1355,-0.33,-1.25,57.76,1.07,37.06,1449
2,0.31,0.31,386226,145,2655,0.51,0.74,78.67,-0.45,14.22,1280,-0.46,-0.7,76.29,0.51,15.78,1375
5,0.31,0.31,309600,117,2655,0.41,1.01,62.03,-0.67,32.58,1280,-0.37,-0.98,61.53,0.75,30.33,1375
10,0.31,0.31,306360,115,2655,0.44,1.32,58.91,-0.95,36.41,1280,-0.34,-1.26,57.89,1.07,36.87,1375
2,0.31,0.32,366899,146,2511,0.52,0.75,78.76,-0.46,14.55,1210,-0.46,-0.71,75.86,0.52,16.06,1301
5,0.31,0.32,292440,116,2511,0.41,1.03,61.9,-0.68,32.81,1210,-0.37,-0.98,61.03,0.77,30.59,1301
10,0.31,0.32,290340,116,2511,0.45,1.34,59.26,-0.95,36.2,1210,-0.33,-1.27,57.49,1.08,37.43,1301
2,0.31,0.33,353009,148,2390,0.53,0.75,78.73,-0.46,14.5,1152,-0.46,-0.72,76.09,0.52,16.07,1238
5,0.31,0.33,278640,117,2390,0.41,1.04,61.72,-0.69,32.99,1152,-0.37,-0.99,61.07,0.78,30.94,1238
10,0.31,0.33,273810,115,2390,0.44,1.34,58.85,-0.96,36.63,1152,-0.33,-1.28,57.75,1.1,37.4,1238
2,0.31,0.34,336531,148,2274,0.53,0.76,78.52,-0.47,14.72,1094,-0.46,-0.72,75.93,0.53,16.36,1180
5,0.31,0.34,264270,116,2274,0.41,1.03,61.79,-0.7,32.72,1094,-0.37,-1.01,60.85,0.79,30.85,1180
10,0.31,0.34,256410,113,2274,0.43,1.33,58.96,-0.98,36.65,1094,-0.33,-1.3,57.46,1.11,37.71,1180
2,0.31,0.35,324801,149,2175,0.53,0.77,78.46,-0.47,14.71,1040,-0.47,-0.73,75.86,0.53,16.39,1135
5,0.31,0.35,255240,117,2175,0.41,1.05,61.35,-0.7,33.27,1040,-0.37,-1.01,61.06,0.8,30.84,1135
10,0.31,0.35,248820,114,2175,0.44,1.35,58.75,-0.97,37.02,1040,-0.33,-1.32,57.44,1.13,37.97,1135
2,0.31,0.36,310551,150,2065,0.54,0.77,78.8,-0.47,14.68,981,-0.47,-0.73,76.11,0.55,16.42,1084
5,0.31,0.36,246300,119,2065,0.42,1.06,61.77,-0.7,33.33,981,-0.38,-1.02,61.35,0.81,30.63,1084
10,0.31,0.36,241620,117,2065,0.45,1.37,58.72,-0.97,36.9,981,-0.34,-1.33,57.84,1.15,37.64,1084
2,0.31,0.37,298041,151,1979,0.54,0.78,78.53,-0.48,14.77,941,-0.47,-0.73,75.92,0.55,16.47,1038
5,0.31,0.37,233310,118,1979,0.42,1.07,61.74,-0.7,33.79,941,-0.37,-1.01,61.18,0.81,30.92,1038
10,0.31,0.37,229890,116,1979,0.45,1.38,58.77,-0.98,36.88,941,-0.33,-1.33,57.8,1.16,37.76,1038
2,0.31,0.38,283611,151,1879,0.54,0.78,78.03,-0.47,15.13,892,-0.47,-0.74,76.09,0.55,16.72,987
5,0.31,0.38,228120,121,1879,0.43,1.08,61.77,-0.71,33.63,892,-0.38,-1.01,62.31,0.82,30.09,987
10,0.31,0.38,223260,119,1879,0.46,1.39,58.97,-0.99,36.55,892,-0.34,-1.34,58.56,1.19,37.08,987
2,0.31,0.39,273141,152,1793,0.54,0.78,78.15,-0.47,15.3,856,-0.48,-0.75,76.31,0.55,16.65,937
5,0.31,0.39,220500,123,1793,0.42,1.08,61.33,-0.71,34.11,856,-0.4,-1.03,62.65,0.83,29.99,937
10,0.31,0.39,213720,119,1793,0.45,1.39,58.76,-1,36.92,856,-0.35,-1.35,58.8,1.2,36.93,937
2,0.32,0,765573,128,5999,0.44,0.62,79.19,-0.38,12.73,2907,-0.41,-0.59,78.01,0.44,12.61,3092
5,0.32,0,602910,101,5999,0.35,0.84,62.54,-0.59,29.58,2907,-0.32,-0.79,62.35,0.63,27.39,3092
10,0.32,0,621060,104,5999,0.38,1.11,58.72,-0.79,34.16,2907,-0.31,-1.01,59.48,0.85,34.06,3092
2,0.32,0.01,765303,128,5998,0.44,0.62,79.18,-0.38,12.73,2906,-0.41,-0.59,78.01,0.44,12.61,3092
5,0.32,0.01,602430,100,5998,0.35,0.84,62.53,-0.59,29.59,2906,-0.32,-0.79,62.35,0.63,27.39,3092
10,0.32,0.01,620340,103,5998,0.38,1.1,58.71,-0.79,34.17,2906,-0.31,-1.01,59.48,0.85,34.06,3092
2,0.32,0.02,764883,128,5997,0.44,0.62,79.18,-0.38,12.73,2906,-0.41,-0.59,78,0.44,12.62,3091
5,0.32,0.02,601950,100,5997,0.35,0.84,62.53,-0.59,29.59,2906,-0.32,-0.79,62.34,0.63,27.4,3091
10,0.32,0.02,619740,103,5997,0.38,1.1,58.71,-0.79,34.17,2906,-0.31,-1.01,59.46,0.85,34.07,3091
2,0.32,0.03,764823,128,5995,0.44,0.62,79.21,-0.38,12.7,2905,-0.41,-0.59,77.99,0.44,12.62,3090
5,0.32,0.03,601710,100,5995,0.35,0.84,62.55,-0.59,29.57,2905,-0.32,-0.79,62.33,0.63,27.41,3090
10,0.32,0.03,619830,103,5995,0.38,1.1,58.73,-0.79,34.15,2905,-0.31,-1.01,59.45,0.85,34.08,3090
2,0.32,0.04,763983,128,5991,0.44,0.62,79.22,-0.38,12.72,2902,-0.41,-0.59,77.99,0.44,12.63,3089
5,0.32,0.04,601050,100,5991,0.35,0.84,62.51,-0.59,29.6,2902,-0.32,-0.79,62.35,0.63,27.39,3089
10,0.32,0.04,617760,103,5991,0.38,1.1,58.68,-0.79,34.18,2902,-0.31,-1.01,59.44,0.85,34.09,3089
2,0.32,0.05,762963,128,5984,0.44,0.62,79.19,-0.38,12.73,2898,-0.41,-0.59,77.97,0.44,12.64,3086
5,0.32,0.05,598920,100,5984,0.35,0.83,62.49,-0.59,29.64,2898,-0.32,-0.79,62.31,0.63,27.41,3086
10,0.32,0.05,616260,103,5984,0.38,1.1,58.66,-0.79,34.2,2898,-0.31,-1.01,59.4,0.85,34.12,3086
2,0.32,0.06,761283,128,5967,0.44,0.62,79.14,-0.38,12.76,2891,-0.41,-0.59,77.96,0.44,12.65,3076
5,0.32,0.06,596790,100,5967,0.35,0.84,62.5,-0.59,29.68,2891,-0.32,-0.79,62.29,0.63,27.5,3076
10,0.32,0.06,614670,103,5967,0.38,1.1,58.66,-0.79,34.24,2891,-0.31,-1.01,59.36,0.85,34.17,3076
2,0.32,0.07,759423,128,5935,0.45,0.63,79.16,-0.38,12.77,2874,-0.41,-0.6,77.95,0.44,12.68,3061
5,0.32,0.07,594210,100,5935,0.35,0.84,62.46,-0.59,29.78,2874,-0.32,-0.79,62.27,0.63,27.51,3061
10,0.32,0.07,612180,103,5935,0.38,1.11,58.66,-0.79,34.27,2874,-0.31,-1.01,59.39,0.85,34.27,3061
2,0.32,0.08,755253,128,5887,0.45,0.63,79.15,-0.38,12.82,2854,-0.41,-0.6,78.01,0.44,12.69,3033
5,0.32,0.08,590070,100,5887,0.35,0.84,62.47,-0.59,29.82,2854,-0.32,-0.79,62.45,0.63,27.53,3033
10,0.32,0.08,610920,104,5887,0.38,1.11,58.76,-0.79,34.27,2854,-0.31,-1.02,59.48,0.85,34.22,3033
2,0.32,0.09,747753,129,5817,0.45,0.63,79.19,-0.39,12.81,2825,-0.41,-0.6,77.91,0.44,12.8,2992
5,0.32,0.09,583050,100,5817,0.35,0.84,62.44,-0.59,29.91,2825,-0.32,-0.8,62.23,0.63,27.81,2992
10,0.32,0.09,602490,104,5817,0.38,1.11,58.76,-0.79,34.44,2825,-0.31,-1.02,59.46,0.86,34.39,2992
2,0.32,0.1,741813,129,5745,0.45,0.63,79.2,-0.39,12.85,2793,-0.41,-0.6,77.91,0.44,12.94,2952
5,0.32,0.1,578040,101,5745,0.35,0.85,62.55,-0.59,29.97,2793,-0.32,-0.8,62.2,0.64,27.91,2952
10,0.32,0.1,596100,104,5745,0.38,1.12,58.83,-0.8,34.37,2793,-0.31,-1.02,59.35,0.86,34.65,2952
2,0.32,0.11,732633,130,5631,0.45,0.64,79.1,-0.39,12.98,2742,-0.42,-0.61,77.92,0.44,13.05,2889
5,0.32,0.11,569670,101,5631,0.35,0.85,62.36,-0.6,30.23,2742,-0.32,-0.81,61.89,0.64,28.21,2889
10,0.32,0.11,586710,104,5631,0.38,1.13,58.75,-0.8,34.65,2742,-0.31,-1.04,59.09,0.86,34.89,2889
2,0.32,0.12,717483,131,5479,0.46,0.64,79.05,-0.39,12.97,2659,-0.42,-0.61,77.94,0.44,13.16,2820
5,0.32,0.12,556320,102,5479,0.35,0.86,62.32,-0.6,30.46,2659,-0.32,-0.82,61.84,0.64,28.4,2820
10,0.32,0.12,571650,104,5479,0.39,1.13,58.93,-0.8,34.98,2659,-0.31,-1.05,58.94,0.87,35.04,2820
2,0.32,0.13,701606,132,5335,0.46,0.64,79.04,-0.39,13.12,2600,-0.42,-0.62,77.84,0.45,13.24,2735
5,0.32,0.13,546090,102,5335,0.36,0.87,62.54,-0.6,30.38,2600,-0.32,-0.83,61.57,0.65,28.63,2735
10,0.32,0.13,559140,105,5335,0.39,1.14,59.08,-0.81,34.85,2600,-0.31,-1.05,58.68,0.88,35.28,2735
2,0.32,0.14,684559,132,5180,0.46,0.65,78.92,-0.39,13.23,2510,-0.42,-0.62,77.83,0.45,13.33,2670
5,0.32,0.14,531420,103,5180,0.36,0.88,62.43,-0.61,30.6,2510,-0.32,-0.83,61.57,0.65,28.65,2670
