pred_horizon_s,signal_thres,vol_thres,point_per_round,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
10,0.22,0.08,0.2541,161920,36,4469,0.2727,0.7453,60.009,-0.5653,30.8797,2228,-0.2357,-0.6699,60.5979,0.5547,30.7006,2241
2,0.22,0.09,0.2852,195822,46,4297,0.2964,0.4424,75.3724,-0.3196,11.5922,2148,-0.2741,-0.4068,76.3146,0.3282,11.0749,2149
5,0.22,0.09,0.229,123350,29,4297,0.2461,0.5793,61.9646,-0.4539,24.8603,2148,-0.2119,-0.5314,61.6101,0.4579,25.221,2149
10,0.22,0.09,0.2577,160340,37,4297,0.277,0.7546,60.0093,-0.5714,30.7728,2148,-0.2384,-0.6766,60.8655,0.5645,30.712,2149
2,0.22,0.1,0.2868,187749,46,4077,0.2976,0.4476,74.9631,-0.3176,11.9528,2033,-0.2762,-0.4126,76.1252,0.3303,11.4971,2044
5,0.22,0.1,0.2287,116670,29,4077,0.2462,0.5861,61.6822,-0.4578,25.1845,2033,-0.2113,-0.5381,61.3992,0.4627,25.7339,2044
10,0.22,0.1,0.2561,150150,37,4077,0.2757,0.7661,59.4196,-0.5766,31.1363,2033,-0.2366,-0.6822,60.6164,0.5702,31.0176,2044
2,0.22,0.11,0.2892,181239,47,3876,0.3021,0.4521,75.3488,-0.3188,12.093,1935,-0.2763,-0.4161,75.8372,0.3324,11.798,1941
5,0.22,0.11,0.2273,109260,28,3876,0.2467,0.5921,61.5504,-0.4632,25.4264,1935,-0.208,-0.5415,61.1025,0.4686,26.2236,1941
10,0.22,0.11,0.2548,141270,36,3876,0.2768,0.7751,59.3798,-0.5839,31.4212,1935,-0.2329,-0.6875,60.2267,0.5764,31.4271,1941
2,0.22,0.12,0.2926,174129,48,3645,0.3047,0.4559,75.427,-0.3192,12.2865,1815,-0.2806,-0.4208,76.1202,0.3351,11.8579,1830
5,0.22,0.12,0.231,106830,29,3645,0.2503,0.6026,61.4876,-0.4662,25.7851,1815,-0.2119,-0.5496,61.3661,0.4799,26.1202,1830
10,0.22,0.12,0.2592,137670,38,3645,0.2791,0.7843,59.449,-0.5889,31.7906,1815,-0.2396,-0.6997,60.3279,0.5841,31.2568,1830
2,0.22,0.13,0.2951,165179,49,3403,0.3047,0.4595,74.9854,-0.3207,12.4194,1707,-0.2855,-0.4273,76.2972,0.3419,11.8514,1696
5,0.22,0.13,0.2318,100550,30,3403,0.2482,0.6102,60.9842,-0.4753,26.0691,1707,-0.2153,-0.5622,61.1439,0.484,26.533,1696
10,0.22,0.13,0.2625,131900,39,3403,0.2804,0.7969,59.2853,-0.6017,31.9274,1707,-0.2446,-0.7164,60.5542,0.6043,31.309,1696
2,0.22,0.14,0.297,155266,49,3163,0.3068,0.4629,75.0314,-0.3229,12.5471,1594,-0.287,-0.4321,76.2269,0.3483,12.1734,1569
5,0.22,0.14,0.2288,90620,29,3163,0.2434,0.6177,60.2886,-0.4815,26.788,1594,-0.214,-0.5721,60.7393,0.4915,27.1511,1569
10,0.22,0.14,0.2615,121610,38,3163,0.2757,0.8005,59.2221,-0.614,32.3087,1594,-0.247,-0.7268,60.7393,0.6212,31.2938,1569
2,0.22,0.15,0.2994,146553,50,2941,0.3069,0.4664,74.7826,-0.3243,12.9097,1495,-0.2917,-0.4375,76.4177,0.3588,11.8949,1446
5,0.22,0.15,0.2324,87410,30,2941,0.2445,0.6277,59.8662,-0.4844,27.0903,1495,-0.2198,-0.5856,60.5809,0.4927,27.3859,1446
10,0.22,0.15,0.2656,116720,40,2941,0.2777,0.81,59.2642,-0.6226,32.5084,1495,-0.2532,-0.7376,61.1342,0.6353,31.1203,1446
2,0.22,0.16,0.3017,138063,50,2734,0.3114,0.471,75.1073,-0.3258,13.0186,1398,-0.2915,-0.4421,76.1976,0.363,12.5,1336
5,0.22,0.16,0.2354,83720,31,2734,0.2496,0.6348,60.0858,-0.4876,27.0386,1398,-0.2206,-0.5949,60.6287,0.5073,27.6198,1336
10,0.22,0.16,0.2703,112310,41,2734,0.2866,0.8183,59.8712,-0.6288,32.3319,1398,-0.2531,-0.753,60.6287,0.6469,31.4371,1336
2,0.22,0.17,0.3039,128306,51,2507,0.3156,0.4774,75.1351,-0.3247,13.2819,1295,-0.2915,-0.4433,76.4026,0.3692,12.7888,1212
5,0.22,0.17,0.2386,79180,32,2507,0.2512,0.6336,60.3861,-0.4877,26.9498,1295,-0.2252,-0.6079,60.6436,0.5191,27.6403,1212
10,0.22,0.17,0.2747,106330,42,2507,0.2892,0.825,60.1544,-0.6401,32.3552,1295,-0.2592,-0.7724,60.4785,0.6597,31.5182,1212
2,0.22,0.18,0.308,121289,52,2315,0.3152,0.4807,74.8957,-0.3238,13.8449,1199,-0.3002,-0.4506,76.9713,0.377,12.3656,1116
5,0.22,0.18,0.2396,73780,32,2315,0.2516,0.6408,60.5505,-0.5031,27.1059,1199,-0.2266,-0.6149,60.7527,0.5325,27.5986,1116
10,0.22,0.18,0.2767,99550,43,2315,0.2869,0.828,60.3837,-0.6585,32.3603,1199,-0.2657,-0.7767,60.8423,0.6654,31.0932,1116
2,0.22,0.19,0.3071,111489,52,2139,0.3163,0.4865,74.4565,-0.3295,13.9493,1104,-0.2973,-0.4509,76.8116,0.385,12.7536,1035
5,0.22,0.19,0.2419,69660,33,2139,0.2579,0.649,60.779,-0.506,26.9928,1104,-0.2248,-0.6202,60.6763,0.5483,27.6329,1035
10,0.22,0.19,0.2796,93840,44,2139,0.2938,0.8411,60.5978,-0.6751,31.9746,1104,-0.2643,-0.7883,60.4831,0.6808,31.2077,1035
2,0.22,0.2,0.309,103806,53,1970,0.3193,0.4912,74.6785,-0.3336,14.2433,1011,-0.2981,-0.4534,76.7466,0.3857,12.9301,959
5,0.22,0.2,0.2378,61750,31,1970,0.2554,0.6598,60.5341,-0.5163,27.8932,1011,-0.2193,-0.6237,60.1668,0.548,28.4672,959
10,0.22,0.2,0.2808,87160,44,1970,0.2919,0.8501,60.8309,-0.6985,32.2453,1011,-0.2691,-0.799,60.5839,0.6847,31.3869,959
2,0.22,0.21,0.311,96933,53,1819,0.3248,0.4962,75.0266,-0.3357,14.1339,941,-0.2961,-0.4557,76.4237,0.395,13.2118,878
5,0.22,0.21,0.2417,59120,33,1819,0.2659,0.6757,60.4676,-0.5267,27.0988,941,-0.2157,-0.6323,59.6811,0.5587,28.9294,878
10,0.22,0.21,0.2829,81620,45,1819,0.3005,0.8738,60.4676,-0.6961,32.7311,941,-0.264,-0.804,60.4784,0.6918,32.1185,878
2,0.22,0.22,0.3143,90899,54,1674,0.3296,0.503,75.1732,-0.3466,13.9723,866,-0.2979,-0.4639,75.8663,0.393,13.7376,808
5,0.22,0.22,0.2416,54360,32,1674,0.2715,0.6893,60.5081,-0.5321,27.3672,866,-0.2095,-0.634,59.0347,0.5569,29.5792,808
10,0.22,0.22,0.281,74160,44,1674,0.303,0.8864,60.2771,-0.7053,32.7945,866,-0.2574,-0.8056,60.0248,0.6843,33.0446,808
2,0.22,0.23,0.311,83029,53,1558,0.3263,0.5059,74.6567,-0.3487,14.7316,801,-0.2947,-0.4616,75.8256,0.3909,14.1347,757
5,0.22,0.23,0.2327,46430,30,1558,0.2615,0.7,59.0512,-0.5333,28.4644,801,-0.2021,-0.634,58.6526,0.5661,29.9868,757
10,0.22,0.23,0.2735,65510,42,1558,0.2944,0.8912,59.6754,-0.715,33.2085,801,-0.2514,-0.8075,59.7094,0.696,33.1572,757
2,0.22,0.24,0.31,76043,53,1435,0.3302,0.5124,74.4505,-0.3426,14.9725,728,-0.2892,-0.4582,75.6719,0.3954,14.5686,707
5,0.22,0.24,0.2309,42020,29,1435,0.2646,0.7172,58.9286,-0.5404,29.2582,728,-0.1963,-0.6304,58.5573,0.5737,30.1273,707
10,0.22,0.24,0.2757,61310,43,1435,0.3071,0.9014,60.3022,-0.7323,32.2802,728,-0.2434,-0.8112,59.5474,0.7148,33.5219,707
2,0.22,0.25,0.3145,72393,54,1332,0.3368,0.5195,74.8159,-0.3524,14.7275,679,-0.2913,-0.4609,76.1103,0.4002,14.8545,653
5,0.22,0.25,0.2393,42360,32,1332,0.2735,0.7198,59.4993,-0.5418,28.5714,679,-0.2038,-0.643,59.1118,0.5933,29.709,653
10,0.22,0.25,0.2786,58050,44,1332,0.3052,0.9044,60.3829,-0.7505,32.106,679,-0.251,-0.8228,59.8775,0.7306,33.0781,653
2,0.22,0.26,0.3145,66100,54,1216,0.3324,0.5184,74.4337,-0.3553,15.0485,618,-0.296,-0.4687,76.087,0.3937,15.3846,598
5,0.22,0.26,0.2447,40640,33,1216,0.2786,0.7363,59.2233,-0.5436,28.9644,618,-0.2097,-0.6511,59.8662,0.6154,29.2642,598
10,0.22,0.26,0.2838,54890,45,1216,0.3055,0.9214,59.7087,-0.7598,32.2006,618,-0.2614,-0.831,60.8696,0.7421,32.9431,598
2,0.22,0.27,0.3172,61606,55,1117,0.3361,0.5198,74.6032,-0.3452,14.9912,567,-0.2977,-0.4712,76,0.3908,15.4545,550
5,0.22,0.27,0.2462,37820,34,1117,0.2788,0.7461,58.5538,-0.5398,29.2769,567,-0.2125,-0.6603,60,0.6273,29.2727,550
10,0.22,0.27,0.2872,51560,46,1117,0.3004,0.9079,59.9647,-0.7522,32.4515,567,-0.2736,-0.8367,61.4545,0.7475,32.1818,550
2,0.22,0.28,0.3172,56313,55,1021,0.3335,0.5178,74.7126,-0.3438,15.5172,522,-0.3001,-0.474,75.7515,0.3871,15.2305,499
5,0.22,0.28,0.2542,37010,36,1021,0.2864,0.7564,58.8123,-0.5441,29.1188,522,-0.2204,-0.6763,59.9198,0.6315,29.2585,499
10,0.22,0.28,0.2931,48950,48,1021,0.3056,0.9104,60.5364,-0.7586,32.3755,522,-0.2802,-0.8548,61.1222,0.7463,32.4649,499
2,0.22,0.29,0.3177,51206,55,926,0.3364,0.5231,74.8954,-0.3526,15.6904,478,-0.2976,-0.4694,76.1161,0.3873,15.4018,448
5,0.22,0.29,0.2496,32290,35,926,0.2908,0.7727,58.159,-0.5453,29.0795,478,-0.2056,-0.6825,58.7054,0.6522,29.9107,448
10,0.22,0.29,0.2909,43780,47,926,0.3111,0.943,59.8326,-0.7658,33.0544,478,-0.2694,-0.876,59.5982,0.7547,33.4821,448
2,0.22,0.3,0.32,47703,56,852,0.3346,0.5272,74.1935,-0.3557,15.8986,434,-0.3048,-0.4738,76.0766,0.3637,15.311,418
5,0.22,0.3,0.2542,30900,36,852,0.2862,0.7867,57.3733,-0.5558,29.7235,434,-0.2211,-0.6956,59.5694,0.6623,29.1866,418
10,0.22,0.3,0.3032,43410,51,852,0.3145,0.9548,59.6774,-0.7694,33.1797,434,-0.2914,-0.8929,60.2871,0.7533,32.7751,418
2,0.22,0.31,0.327,44726,58,770,0.3393,0.5341,73.7245,-0.3499,15.5612,392,-0.3141,-0.4798,76.455,0.3624,14.5503,378
5,0.22,0.31,0.2494,26800,35,770,0.2834,0.7973,56.3776,-0.5612,29.5918,392,-0.214,-0.6929,59.2593,0.688,28.5714,378
10,0.22,0.31,0.307,40120,52,770,0.3286,0.9606,60.2041,-0.7709,32.398,392,-0.2847,-0.8978,60.3175,0.7831,32.8042,378
2,0.22,0.32,0.3268,42203,58,727,0.3447,0.5408,73.6559,-0.338,15.8602,372,-0.3081,-0.4687,77.1831,0.366,14.6479,355
5,0.22,0.32,0.2491,25250,35,727,0.2882,0.8192,55.914,-0.5643,30.1075,372,-0.2082,-0.6952,58.5915,0.6864,29.0141,355
10,0.22,0.32,0.307,37880,52,727,0.3228,0.9904,58.871,-0.7744,33.6022,372,-0.2904,-0.907,60.5634,0.7991,32.3944,355
2,0.22,0.33,0.3333,40260,60,671,0.3485,0.545,73.9884,-0.3508,15.6069,346,-0.3172,-0.4675,78.4615,0.3667,13.5385,325
5,0.22,0.33,0.2548,24460,36,671,0.2882,0.8323,55.4913,-0.567,30.6358,346,-0.2194,-0.7141,59.0769,0.7152,28.3077,325
10,0.22,0.33,0.3152,36610,55,671,0.3159,0.9892,58.6705,-0.7754,34.104,346,-0.3145,-0.9289,61.8462,0.8048,32.3077,325
2,0.22,0.34,0.3348,37830,60,626,0.3479,0.5501,73.6842,-0.3636,15.7895,323,-0.3208,-0.4732,78.5479,0.3764,13.5314,303
5,0.22,0.34,0.2473,21400,34,626,0.2693,0.8254,54.7988,-0.5794,31.5789,323,-0.2238,-0.7182,59.736,0.7318,28.0528,303
10,0.22,0.34,0.3134,33820,54,626,0.3087,0.9979,58.2043,-0.7779,34.9845,323,-0.3185,-0.9449,61.7162,0.8184,32.3432,303
2,0.22,0.35,0.3374,35760,61,584,0.3565,0.557,73.6842,-0.3417,15.7895,304,-0.3167,-0.475,78.2143,0.3833,14.2857,280
5,0.22,0.35,0.2517,20740,36,584,0.2852,0.8512,54.6053,-0.5747,31.25,304,-0.2154,-0.721,59.6429,0.7512,28.5714,280
10,0.22,0.35,0.3144,31720,54,584,0.3243,1.014,58.5526,-0.7875,34.2105,304,-0.3036,-0.9503,61.0714,0.8424,32.8571,280
2,0.22,0.36,0.3444,34320,63,542,0.3596,0.5589,74.386,-0.3478,16.1404,285,-0.3276,-0.4882,78.5992,0.4009,14.0078,257
5,0.22,0.36,0.252,19300,36,542,0.2775,0.8376,55.0877,-0.5758,31.9298,285,-0.2237,-0.7145,61.8677,0.8014,27.2374,257
10,0.22,0.36,0.3218,30640,57,542,0.3337,0.9924,59.6491,-0.783,32.9825,285,-0.3086,-0.9646,61.4786,0.8702,32.6848,257
2,0.22,0.37,0.3549,33567,66,505,0.3665,0.5602,75.4717,-0.3725,15.0943,265,-0.342,-0.4903,80.4167,0.4043,12.9167,240
5,0.22,0.37,0.2638,19760,39,505,0.2842,0.8681,54.3396,-0.5847,32.0755,265,-0.2413,-0.7212,62.9167,0.7969,26.6667,240
10,0.22,0.37,0.3331,30260,60,505,0.3408,1.0095,59.6226,-0.7864,33.2075,265,-0.3246,-0.9797,61.6667,0.8714,32.0833,240
2,0.22,0.38,0.3554,30707,67,461,0.3706,0.5592,76.1134,-0.3778,14.5749,247,-0.3378,-0.4937,79.9065,0.4333,13.0841,214
5,0.22,0.38,0.2698,18880,41,461,0.2923,0.8925,53.8462,-0.5813,32.3887,247,-0.2439,-0.7346,63.5514,0.8224,27.1028,214
10,0.22,0.38,0.3399,28570,62,461,0.3502,1.0257,59.919,-0.7867,33.6032,247,-0.328,-1.0053,61.6822,0.9328,31.3084,214
2,0.22,0.39,0.3652,29840,70,429,0.3779,0.5628,76.4957,-0.3844,13.6752,234,-0.3499,-0.4882,81.5385,0.3912,12.3077,195
5,0.22,0.39,0.3217,24240,57,429,0.3145,0.9086,54.7009,-0.5693,32.0513,234,-0.3303,-0.7504,64.1026,0.5765,26.1538,195
10,0.22,0.39,0.3779,31470,73,429,0.3709,1.0468,60.2564,-0.7696,33.7607,234,-0.3862,-1.0105,63.5897,0.8475,30.2564,195
2,0.23,0.05,0.2881,192519,46,4146,0.2999,0.439,76.1136,-0.3124,10.9643,2043,-0.2767,-0.3994,77.0804,0.3258,9.5578,2103
5,0.23,0.05,0.2364,128190,31,4146,0.2543,0.5717,63.0445,-0.4496,23.5928,2043,-0.219,-0.5178,62.5297,0.4498,23.3,2103
10,0.23,0.05,0.2644,163080,39,4146,0.2837,0.7448,60.6461,-0.56,30.0049,2043,-0.2458,-0.6593,61.5787,0.5523,29.0062,2103
2,0.23,0.06,0.2898,192229,47,4094,0.3016,0.4417,76.115,-0.313,11.0505,2018,-0.2784,-0.4007,77.264,0.3255,9.5857,2076
5,0.23,0.06,0.2369,127210,31,4094,0.2551,0.5744,63.0327,-0.4519,23.6868,2018,-0.2193,-0.5211,62.3796,0.4509,23.4586,2076
10,0.23,0.06,0.2656,162430,40,4094,0.285,0.7481,60.7532,-0.5616,30.1784,2018,-0.2467,-0.6631,61.4644,0.5521,29.1426,2076
2,0.23,0.07,0.2921,190469,48,4000,0.304,0.4444,76.2677,-0.316,11.0548,1972,-0.2805,-0.4038,77.3176,0.3251,9.7633,2028
5,0.23,0.07,0.2391,126890,32,4000,0.2581,0.5801,63.1846,-0.4541,23.8844,1972,-0.2206,-0.5278,62.1795,0.4518,23.8166,2028
10,0.23,0.07,0.2681,161750,40,4000,0.2889,0.7556,60.9026,-0.5666,30.2231,1972,-0.2479,-0.6683,61.5878,0.5552,29.4872,2028
2,0.23,0.08,0.2941,186546,48,3869,0.3063,0.447,76.4431,-0.3172,11.1804,1923,-0.282,-0.4067,77.3381,0.3279,9.9178,1946
5,0.23,0.08,0.2376,121060,31,3869,0.2576,0.5845,62.9225,-0.4567,24.129,1923,-0.2179,-0.5306,61.8705,0.4543,24.3063,1946
10,0.23,0.08,0.2668,154960,40,3869,0.2886,0.7606,60.7904,-0.5713,30.4212,1923,-0.2454,-0.6753,61.2539,0.5589,30.1131,1946
2,0.23,0.09,0.2975,183126,49,3719,0.3088,0.4522,76.2547,-0.318,11.333,1853,-0.2862,-0.412,77.5991,0.3341,10.0214,1866
5,0.23,0.09,0.2403,119380,32,3719,0.2599,0.5912,62.871,-0.4582,24.3929,1853,-0.2209,-0.5376,62.0579,0.4612,24.4373,1866
10,0.23,0.09,0.2714,154060,41,3719,0.2941,0.7699,60.8743,-0.5775,30.2213,1853,-0.2489,-0.6832,61.5756,0.5705,30.1179,1866
2,0.23,0.1,0.2994,175713,50,3526,0.3104,0.457,75.9544,-0.3156,11.6239,1755,-0.2886,-0.4182,77.4139,0.3348,10.5025,1771
5,0.23,0.1,0.2404,113240,32,3526,0.2601,0.5967,62.6781,-0.4606,24.7293,1755,-0.2208,-0.546,61.773,0.4644,25.0706,1771
10,0.23,0.1,0.2703,144890,41,3526,0.2936,0.7804,60.3989,-0.583,30.4843,1755,-0.2472,-0.6893,61.3213,0.5766,30.4348,1771
2,0.23,0.11,0.3017,169153,51,3348,0.3149,0.4612,76.393,-0.3172,11.8035,1669,-0.2887,-0.4219,77.0697,0.3361,10.8398,1679
5,0.23,0.11,0.2384,105570,32,3348,0.2597,0.6027,62.4326,-0.4653,25.0449,1669,-0.2173,-0.5478,61.5843,0.471,25.4914,1679
10,0.23,0.11,0.2683,135570,40,3348,0.294,0.7898,60.2756,-0.5899,30.8568,1669,-0.2428,-0.695,60.81,0.5819,30.9113,1679
2,0.23,0.12,0.3052,162403,52,3150,0.3177,0.466,76.388,-0.3186,11.9974,1567,-0.2928,-0.4266,77.3847,0.3435,10.8654,1583
5,0.23,0.12,0.2427,103380,33,3150,0.2639,0.616,62.157,-0.4672,25.4627,1567,-0.2217,-0.5554,61.9709,0.4833,25.3316,1583
10,0.23,0.12,0.2725,131520,42,3150,0.2962,0.7993,60.3063,-0.5955,31.2061,1567,-0.2491,-0.7067,60.9602,0.592,30.7012,1583
2,0.23,0.13,0.3086,154823,53,2945,0.3189,0.4699,76.0678,-0.319,12.0678,1475,-0.2982,-0.433,77.619,0.3502,10.8163,1470
5,0.23,0.13,0.2444,98110,33,2945,0.2622,0.6229,61.7627,-0.4768,25.6949,1475,-0.2265,-0.5693,61.7007,0.488,25.5782,1470
10,0.23,0.13,0.277,126910,43,2945,0.2986,0.8146,60.2034,-0.611,31.3898,1475,-0.2552,-0.7243,61.2245,0.6108,30.8163,1470
2,0.23,0.14,0.311,145699,53,2734,0.3208,0.4733,76.1075,-0.3251,12.1278,1377,-0.301,-0.4383,77.6713,0.3589,10.9801,1357
5,0.23,0.14,0.2414,88670,32,2734,0.2569,0.6311,61.0022,-0.4833,26.5069,1377,-0.2258,-0.5807,61.238,0.4949,26.2343,1357
10,0.23,0.14,0.2751,116240,43,2734,0.2927,0.8173,60.1307,-0.6249,31.8083,1377,-0.2572,-0.735,61.3117,0.625,30.9506,1357
2,0.23,0.15,0.3137,137526,54,2542,0.3214,0.4769,75.8701,-0.3268,12.3743,1293,-0.3056,-0.4441,77.8223,0.3695,10.8086,1249
5,0.23,0.15,0.2452,85340,34,2542,0.2596,0.6406,60.7889,-0.4864,26.6821,1293,-0.2303,-0.5946,61.0088,0.4982,26.5813,1249
10,0.23,0.15,0.2794,111380,44,2542,0.2964,0.8263,60.3248,-0.634,31.8639,1293,-0.2617,-0.7477,61.4892,0.6374,31.0649,1249
2,0.23,0.16,0.3156,129636,55,2371,0.3262,0.4827,76.0528,-0.3284,12.469,1211,-0.3045,-0.4474,77.5,0.3739,11.2931,1160
5,0.23,0.16,0.2492,82430,35,2371,0.2661,0.6506,60.8588,-0.4885,26.5896,1211,-0.2316,-0.6027,61.1207,0.5116,26.7241,1160
10,0.23,0.16,0.2846,107600,45,2371,0.306,0.8365,60.8588,-0.642,31.6268,1211,-0.2622,-0.7602,61.1207,0.6486,31.2069,1160
2,0.23,0.17,0.3185,121013,56,2179,0.3285,0.4876,75.9079,-0.3244,12.8432,1129,-0.3077,-0.451,77.9048,0.3792,11.5238,1050
5,0.23,0.17,0.2538,78770,36,2179,0.2662,0.6475,61.0275,-0.4902,26.3065,1129,-0.2406,-0.6183,61.4286,0.5259,26.4762,1050
10,0.23,0.17,0.2902,102530,47,2179,0.3053,0.8419,60.9389,-0.655,31.7095,1129,-0.2739,-0.7812,61.3333,0.6631,30.9524,1050
2,0.23,0.18,0.3215,114026,56,2020,0.3275,0.4897,75.6447,-0.3233,13.276,1047,-0.3151,-0.4581,78.2117,0.3825,11.3052,973
5,0.23,0.18,0.2538,72980,36,2020,0.265,0.6533,61.127,-0.5058,26.5521,1047,-0.2416,-0.6246,61.4594,0.5364,26.5159,973
10,0.23,0.18,0.2902,95060,47,2020,0.2991,0.8421,61.0315,-0.6713,31.9962,1047,-0.2806,-0.7845,61.665,0.6679,30.4214,973
2,0.23,0.19,0.3199,104246,56,1863,0.3268,0.496,74.974,-0.3316,13.6033,963,-0.3125,-0.4584,78.1111,0.3912,11.6667,900
5,0.23,0.19,0.255,67980,36,1863,0.2711,0.6634,61.2669,-0.511,26.4798,963,-0.2377,-0.6305,61.2222,0.5562,26.6667,900
10,0.23,0.19,0.2905,87840,47,1863,0.3042,0.8563,61.0592,-0.6882,31.7757,963,-0.2759,-0.7971,61.1111,0.6863,30.7778,900
2,0.23,0.2,0.3236,98046,57,1718,0.3317,0.5018,75.2822,-0.3348,13.7698,886,-0.3149,-0.461,78.2452,0.3926,11.6587,832
5,0.23,0.2,0.2527,61540,36,1718,0.2716,0.6766,61.1738,-0.5189,27.4266,886,-0.2327,-0.6364,60.6971,0.5581,27.524,832
10,0.23,0.2,0.2951,83380,49,1718,0.3076,0.8706,61.3995,-0.7106,31.9413,886,-0.2819,-0.8102,61.1779,0.6895,31.0096,832
2,0.23,0.21,0.3262,91976,58,1590,0.3396,0.5074,75.908,-0.3361,13.5593,826,-0.3117,-0.4623,77.7487,0.3965,12.0419,764
5,0.23,0.21,0.2577,59340,37,1590,0.285,0.6925,61.3801,-0.5307,26.3923,826,-0.2283,-0.6434,60.0785,0.565,28.0105,764
10,0.23,0.21,0.2965,77850,49,1590,0.3138,0.8944,60.8959,-0.7116,32.4455,826,-0.2779,-0.8115,61.2565,0.695,31.5445,764
2,0.23,0.22,0.3278,85113,58,1459,0.3434,0.5146,75.9577,-0.349,13.6063,757,-0.3109,-0.471,76.7806,0.3953,12.8205,702
5,0.23,0.22,0.2562,53780,37,1459,0.2908,0.7067,61.4267,-0.5371,26.6843,757,-0.2189,-0.6448,59.1168,0.5639,28.7749,702
10,0.23,0.22,0.2918,69380,48,1459,0.3145,0.9087,60.502,-0.7211,32.6288,757,-0.2674,-0.8108,60.5413,0.6822,32.7635,702
2,0.23,0.23,0.3246,77903,57,1358,0.3403,0.5174,75.4986,-0.3499,14.3875,702,-0.3077,-0.4679,76.8293,0.3905,13.2622,656
5,0.23,0.23,0.2501,47590,35,1358,0.2849,0.7196,60.2564,-0.5381,27.6353,702,-0.213,-0.6461,58.8415,0.5743,29.1159,656
10,0.23,0.23,0.2851,61840,46,1358,0.3061,0.9114,60.114,-0.7346,32.906,702,-0.2627,-0.8116,60.3659,0.6935,32.7744,656
2,0.23,0.24,0.325,72056,58,1253,0.3479,0.5263,75.4688,-0.3429,14.375,640,-0.3011,-0.4641,76.509,0.3938,13.7031,613
5,0.23,0.24,0.2492,43540,35,1253,0.2898,0.7368,60.3125,-0.5494,28.125,640,-0.2067,-0.6382,58.8907,0.5826,29.0375,613
10,0.23,0.24,0.2893,58630,47,1253,0.322,0.921,60.9375,-0.7542,31.7188,640,-0.2551,-0.8136,60.1958,0.7154,32.7896,613
2,0.23,0.25,0.3299,68576,59,1163,0.3556,0.5362,75.626,-0.3523,14.1903,599,-0.3026,-0.4665,76.9504,0.3972,14.1844,564
5,0.23,0.25,0.2565,42970,37,1163,0.2983,0.7415,60.7679,-0.5527,27.5459,599,-0.2121,-0.6519,59.3972,0.6099,28.7234,564
10,0.23,0.25,0.2896,54520,47,1163,0.317,0.9225,60.7679,-0.7679,31.7195,599,-0.2605,-0.8261,60.461,0.7366,32.4468,564
2,0.23,0.26,0.3305,63003,59,1065,0.3491,0.5342,75.1825,-0.3593,14.5985,548,-0.3108,-0.4758,77.176,0.389,14.5068,517
5,0.23,0.26,0.2628,41370,39,1065,0.3031,0.7571,60.7664,-0.5621,27.9197,548,-0.2201,-0.663,60.1547,0.6329,28.2398,517
10,0.23,0.26,0.2973,52380,49,1065,0.3181,0.9398,60.0365,-0.7709,31.9343,548,-0.2752,-0.839,61.5087,0.7455,32.3017,517
2,0.23,0.27,0.3331,58370,60,974,0.3534,0.536,75.2495,-0.3478,14.3713,501,-0.3116,-0.4798,76.7442,0.3825,14.7992,473
5,0.23,0.27,0.2656,38650,40,974,0.3034,0.7664,60.0798,-0.5582,28.1437,501,-0.2256,-0.6765,60.2537,0.6474,28.1184,473
10,0.23,0.27,0.2997,48610,50,974,0.3116,0.9242,60.2794,-0.764,32.1357,501,-0.2871,-0.8471,61.945,0.7544,31.5011,473
2,0.23,0.28,0.3337,53446,60,889,0.3483,0.5353,74.7826,-0.347,15,460,-0.3182,-0.4856,76.69,0.3754,14.4522,429
5,0.23,0.28,0.2737,37430,42,889,0.3104,0.7797,60,-0.5569,28.2609,460,-0.2343,-0.6961,59.9068,0.6426,28.4382,429
10,0.23,0.28,0.3083,46670,52,889,0.3159,0.9258,60.6522,-0.7687,31.9565,460,-0.3002,-0.8817,61.3054,0.7526,31.9347,429
2,0.23,0.29,0.3357,48860,61,805,0.353,0.5411,75.179,-0.3578,15.0358,419,-0.3168,-0.4801,77.2021,0.371,14.5078,386
5,0.23,0.29,0.272,33500,42,805,0.3172,0.7976,59.4272,-0.5568,28.1623,419,-0.2231,-0.7048,58.8083,0.6598,29.0155,386
10,0.23,0.29,0.3058,41660,52,805,0.3234,0.9622,59.9045,-0.7737,32.6969,419,-0.2868,-0.9017,59.5855,0.7555,33.1606,386
2,0.23,0.3,0.3358,45066,61,742,0.3516,0.5458,74.4737,-0.3594,15.2632,380,-0.3192,-0.483,76.7956,0.3535,14.6409,362
5,0.23,0.3,0.2739,31280,42,742,0.3105,0.8135,58.6842,-0.5764,28.9474,380,-0.2354,-0.722,59.116,0.6663,28.7293,362
10,0.23,0.3,0.3167,40820,55,742,0.3263,0.9758,59.7368,-0.78,32.8947,380,-0.3066,-0.9171,59.9448,0.7395,32.8729,362
2,0.23,0.31,0.3431,42220,63,671,0.3564,0.5552,73.607,-0.3432,15.2493,341,-0.3293,-0.4869,77.2727,0.3442,13.6364,330
5,0.23,0.31,0.2724,28000,42,671,0.3088,0.8276,57.478,-0.5806,28.739,341,-0.2348,-0.721,59.0909,0.6859,27.8788,330
